audio,song_id,genre_id,genre,metadata,caption
"{'path': None, 'array': array([-6.10351562e-05, -6.10351562e-05, -3.05175781e-05, ...,
       -3.96728516e-04, -1.52587891e-04, -4.88281250e-04]), 'sampling_rate': 44100}",11483,9,International,"trombone, 117 bpm, Brass & Military, Marches, D, documentary","""Experience the resounding trombone set in D key, rhythmically propelling through a 117 BPM tempo. This Brass and Military-style march from our documentary fuels your imagination with its rich and rousing audioscape."""
"{'path': None, 'array': array([9.15527344e-05, 2.74658203e-04, 2.13623047e-04, ...,
       5.52368164e-03, 9.39941406e-03, 1.35498047e-02]), 'sampling_rate': 44100}",6824,9,International,"sampler, documentary, Funk / Soul, Neo Soul, 161 bpm, G","""Immerse yourself in the rhythmic pulse of this 161 bpm Neo Soul track, deeply infused with elements of Funk and Soul. It's set in the key of G, and its rich texture is akin to a sampler of iconic sounds."
"{'path': None, 'array': array([-0.00201416, -0.00152588, -0.00125122, ..., -0.1713562 ,
       -0.17202759, -0.16763306]), 'sampling_rate': 44100}",8361,8,Pop,"120 bpm, sampler, B, Funk / Soul, Swingbeat, documentary","""Immerse yourself in this vibrant audio experience, tuned to 120 beats per minute. This soundtrack incorporates a sampler, generating a rich tapestry of sounds that lean heavily into Funk and Soul genre. Crafted in the key of B, the"
"{'path': None, 'array': array([0.19265747, 0.20065308, 0.23135376, ..., 0.03961182, 0.05429077,
       0.07150269]), 'sampling_rate': 44100}",12269,9,International,"groovy, F#, Funk / Soul, Swingbeat, acousticbassguitar, 178 bpm","""Immerse yourself in the allure of groove-infused rhythms in this F# keyed, Funk/Soul track. Feel the rhythmic pulse of the acoustic bass guitar singing at a lively pace of 178 bpm, tastefully garnished with the"
"{'path': None, 'array': array([-0.0015564 , -0.00137329, -0.0012207 , ...,  0.00787354,
       -0.06430054, -0.046875  ]), 'sampling_rate': 44100}",1063,0,Electronic,"172 bpm, soundscape, Funk / Soul, Swingbeat, D, sampler","""Immerse yourself in the fluid soundscape of this musical masterpiece, masterfully constructed at every note. With a heart-pumping tempo of 172 beats per minute, this swingbeat-styled Funk/Soul track seamlessly merges the smooth and rhyth"
"{'path': None, 'array': array([-3.05175781e-04, -6.10351562e-05,  1.83105469e-04, ...,
       -2.73223877e-01, -2.99224854e-01, -2.61138916e-01]), 'sampling_rate': 44100}",11704,6,Chiptune / Glitch,"Funk / Soul, Neo Soul, D#, 71 bpm, documentary, sampler","""Immerse yourself in the groove of this Neo Soul track set in D# at a mellow tempo of 71 bpm. Exuding the essence of classic Funk/Soul, it provides the perfect soundtrack for your documentary. Discover a nuanced tape"
"{'path': None, 'array': array([-0.00134277, -0.00137329, -0.00137329, ...,  0.04476929,
        0.02999878,  0.01330566]), 'sampling_rate': 44100}",18506,8,Pop,"documentary, 120 bpm, C#, acousticbassguitar, Stage & Screen, Soundtrack","""Experience the captivating sway of a documentary soundtrack with 'Stage & Screen', set at a rhythmic 120 bpm. Featuring the distinctive tones of an acoustic bass guitar, this composition in key C# immerses you in the riveting world of"
"{'path': None, 'array': array([0.00167847, 0.00210571, 0.00180054, ..., 0.0513916 , 0.10580444,
       0.12890625]), 'sampling_rate': 44100}",6826,2,Punk,"Rock, Funeral Doom Metal, documentary, acousticguitar, E, 91 bpm","""Immerse yourself in the profound resonance of our E-tuned acoustic guitar, setting the mournful pace at 91 bpm, as we journey through the somber world of Funeral Doom Metal. This poignant rock documentary penetrates the depths of the"
"{'path': None, 'array': array([-0.0045166 , -0.00375366, -0.00354004, ...,  0.05703735,
       -0.00311279, -0.05657959]), 'sampling_rate': 44100}",24811,0,Electronic,"F, 129 bpm, sampler, Electronic, Acid House, groovy","""Immerse yourself in the dynamic world of Acid House with this groovy electronic track. Played at a catchy pace of 129 BPM, this composition skillfully employs a sampler to introduce captivating variations. Driven by the enthralling beat of"
"{'path': None, 'array': array([-2.44140625e-04, -9.15527344e-05, -1.52587891e-04, ...,
        2.09838867e-01,  1.91680908e-01,  1.51855469e-01]), 'sampling_rate': 44100}",5144,8,Pop,"Funk / Soul, Gospel, 167 bpm, A, adventure, acousticbassguitar","""Immerse yourself in the radiant vibes of this Funk/Soul track, layered with powerful gospel influences. With its adventurous arrangement, the song sweeps you away at a lively pace of 167 bpm. Richly arranged in the key of A,"
"{'path': None, 'array': array([0.09707642, 0.11743164, 0.09628296, ..., 0.1026001 , 0.13952637,
       0.17462158]), 'sampling_rate': 44100}",13722,6,Chiptune / Glitch,"115 bpm, sampler, C, Electronic, Breakbeat, documentary","""Experience a rhythmic breakbeat marvel with this unique 115 BPM electronic track composed in the key of C. Drawing energy from an exclusive sampler, this composition is perfect for intensifying the depth and suspense of your documentary content."""
"{'path': None, 'array': array([-0.07672119, -0.07821655, -0.06802368, ..., -0.0406189 ,
       -0.04876709, -0.04147339]), 'sampling_rate': 44100}",4085,9,International,"E, 140 bpm, trailer, harmonica, Blues, Harmonica Blues","""Immerse yourself in the soulful experience of our 'Harmonica Blues' audio track. Set at a steady rhythm of 140 BPM, this composition features the expressive notes of a harmonica, conjuring the authentic Blues atmosphere. Perfect"
"{'path': None, 'array': array([ 0.00674438,  0.00778198,  0.00796509, ..., -0.23153687,
       -0.24478149, -0.22976685]), 'sampling_rate': 44100}",24317,5,Folk,"G, Blues, Harmonica Blues, 91 bpm, acousticguitar, trailer","Experience the soulful energy of this Harmonica Blues track, set at a smooth rhythm of 91 bpm. Plunge into the heart of the blues as the crisp sound of the acoustic guitar strums its way through your soul, perfectly accompanied by deeply"
"{'path': None, 'array': array([-0.00067139, -0.00067139, -0.00076294, ...,  0.09207153,
        0.0892334 ,  0.08700562]), 'sampling_rate': 44100}",6555,9,International,"Funk / Soul, New Jack Swing, A, 157 bpm, flute, adventure","""Immerse yourself in an exhilarating adventure with this lively New Jack Swing track. Infused with a deliciously funky soul beat, the track pulsates at a vibrant 157 bpm. The intriguing presence of a flute melody adds a unique layer"
"{'path': None, 'array': array([-2.44140625e-04, -1.22070312e-04,  3.05175781e-05, ...,
        1.41418457e-01,  1.26495361e-01,  8.61816406e-02]), 'sampling_rate': 44100}",14683,2,Punk,"D, acousticguitar, Stage & Screen, Soundtrack, documentary, 144 bpm","""Experience the moving 144 BPM soundtrack from the featured documentary, resonating harmoniously from a D-tuned acoustic guitar. Immerse yourself in the heart-rhythmic melodies echoing the raw emotions of the Stage & Screen genre."""
"{'path': None, 'array': array([ 0.00076294,  0.00079346,  0.0007019 , ..., -0.17575073,
       -0.18273926, -0.17062378]), 'sampling_rate': 44100}",19895,5,Folk,"Stage & Screen, Soundtrack, 103 bpm, documentary, C, acousticbassguitar","""Immerse yourself in the enchanting rhythm of this 103 bpm Stage & Screen Soundtrack. Ideal for a documentary, it's set in the key of C and features the resonating depth of an Acoustic Bass Guitar, creating an audio"
"{'path': None, 'array': array([0.00170898, 0.00253296, 0.00305176, ..., 0.0526123 , 0.02758789,
       0.02575684]), 'sampling_rate': 44100}",20227,4,Hip-Hop,"D#, documentary, 157 bpm, sampler, Rock, Experimental","""Immerse yourself in the world of experimental rock music with our specially curated documentary. Traversing the sonic landscape at 157 beats per minute, you will explore the edgy rhythms and unconventional sounds crafted from unique samplers, all while reson"
"{'path': None, 'array': array([0.00082397, 0.0005188 , 0.00042725, ..., 0.05325317, 0.06140137,
       0.0531311 ]), 'sampling_rate': 44100}",6447,2,Punk,"A, 167 bpm, acousticguitar, Rock, Garage Rock, groovy","""Immerse yourself in this groovy Garage Rock tune, driven by a vibrant acoustic guitar. Pulsing strongly at 167 bpm, it exudes an aura of energetic A-keyed rhythms that will get your foot tapping in no time."
"{'path': None, 'array': array([ 0.00027466, -0.00076294, -0.0020752 , ..., -0.10198975,
       -0.18395996, -0.19805908]), 'sampling_rate': 44100}",24926,1,Rock,"Funk / Soul, Psychedelic, 136 bpm, acousticbassguitar, A, documentary","""Immerse yourself in the captivating rhythm of this 136 bpm Funk / Soul track, enhanced by the intriguing psychedelic undertones. Layered with resonant notes from an acoustic bass guitar in the key of A, it provides an atmospheric backdrop suitable"
"{'path': None, 'array': array([-6.10351562e-05, -1.83105469e-04, -9.15527344e-05, ...,
        9.24682617e-03,  9.82666016e-03,  1.08337402e-02]), 'sampling_rate': 44100}",945,1,Rock,"Rock, Garage Rock, adventure, acousticguitar, A, 144 bpm","""Immerse yourself in the thrill of this adventurous Garage Rock track. Dancing at a lively 144 BPM, this dynamic composition breathes life into raw energy through its soulful Rock elements. The song's heartbeat is an acoustic guitar, strum"
"{'path': None, 'array': array([ 2.44140625e-04,  0.00000000e+00, -9.15527344e-05, ...,
        8.86230469e-02,  6.68334961e-02,  7.72094727e-02]), 'sampling_rate': 44100}",19746,8,Pop,"acousticbassguitar, C, 161 bpm, Funk / Soul, New Jack Swing, documentary","""Experience the rhythmic pulse of this New Jack Swing Funk/Soul soundtrack, driven by the mellow undertones of an acoustic bass guitar. Tuned to the key of C, this piece sizzles at a speed of 161 beats per"
"{'path': None, 'array': array([ 0.00042725, -0.0005188 , -0.00033569, ...,  0.11315918,
        0.11380005,  0.13305664]), 'sampling_rate': 44100}",9294,4,Hip-Hop,"groovy, Funk / Soul, Swingbeat, sampler, A, 99 bpm","""Immerse yourself in the groove of this soulful Swingbeat track. This 'A' sampler packs a punch with its funky undertones, all set to a rhythmic 99 BPM tempo. Prepare yourself for a music experience that will make"
"{'path': None, 'array': array([ 0.09472656,  0.109375  ,  0.12042236, ..., -0.31585693,
       -0.32113647, -0.26422119]), 'sampling_rate': 44100}",5327,1,Rock,"Funk / Soul, Gospel, 103 bpm, adventure, D, acousticbassguitar","""Immerse yourself in this Gospel-infused Funk/Soul adventure, timed at 103 bpm. The unique rhythm of an acoustic bass guitar guides our journey, all harmoniously set in the key of D. Let the music envelop you, carrying"
"{'path': None, 'array': array([-0.22433472, -0.25021362, -0.25134277, ...,  0.11880493,
        0.11141968,  0.09912109]), 'sampling_rate': 44100}",14909,6,Chiptune / Glitch,"140 bpm, Electronic, Downtempo, documentary, synthesizer, D#","""Immerse yourself in the rhythmically profound, 140 bpm electronic downtempo track, perfect for your next documentary. Its pulsating synthesizer beats, set in a mesmerizing key of D#, will add an engaging sonic layer that will capt"
"{'path': None, 'array': array([ 0.00000000e+00,  0.00000000e+00,  3.05175781e-05, ...,
       -3.44848633e-03, -1.83105469e-03, -4.27246094e-04]), 'sampling_rate': 44100}",3594,7,Instrumental,"documentary, synthesizer, 98 bpm, Funk / Soul, Neo Soul, D#","""Immerse yourself in the captivating experience of our documentary. Set to the rhythmically rich cadence of 98 BPM, it flows seamlessly through the vibrant genres of Funk, Soul, and Neo-Soul. Effortlessly blending the nostalgic tunes"
"{'path': None, 'array': array([-0.00057983, -0.0005188 , -0.00045776, ..., -0.05813599,
       -0.07354736, -0.08169556]), 'sampling_rate': 44100}",17833,1,Rock,"Funk / Soul, Gospel, acousticbassguitar, 65 bpm, A, documentary","""Immerse yourself in the warm, vibrant tones of a Funk / Soul track, punctuated by the rhythmic strums of an acoustic bass guitar. Emanating at an unhurried 65 beats per minute in the key of '"
"{'path': None, 'array': array([0.00024414, 0.00039673, 0.0007019 , ..., 0.00296021, 0.00634766,
       0.00820923]), 'sampling_rate': 44100}",12584,7,Instrumental,"documentary, Electronic, New Beat, sampler, C, 120 bpm","""Immerse yourself in the invigorating world of our documentary, where we delve into the intertwining realms of Electronic music and New Beat. Let the rhythmic pulse of our 120 bpm sampler in the key of C guide your journey through"
"{'path': None, 'array': array([ 0.00125122,  0.00112915,  0.00088501, ..., -0.29879761,
       -0.30096436, -0.27282715]), 'sampling_rate': 44100}",11691,1,Rock,"acousticguitar, Funk / Soul, Psychedelic, adventure, E, 129 bpm","""Immerse yourself in a vibrant musical adventure, featuring a soulful, psychedelic fusion of acoustic guitar melodies played at an energetic tempo of 129 bpm. Set in the uplifting key of E, this Funk/Soul inspired masterpiece exudes groove,"
"{'path': None, 'array': array([0.00170898, 0.00177002, 0.00167847, ..., 0.23025513, 0.27047729,
       0.24276733]), 'sampling_rate': 44100}",686,9,International,"groovy, Funk / Soul, Swingbeat, D, 83 bpm, acousticbassguitar","""Immerse yourself in the funky realms of a groovy Funk/Soul track, accentuated by the rhythmic pulse of Swingbeat. Set to the dynamic key of D and a chic tempo of 83 bpm, it features a mesmerizing"
"{'path': None, 'array': array([ 1.09863281e-03,  1.06811523e-03,  3.96728516e-04, ...,
       -8.94653320e-01, -9.56970215e-01, -9.05731201e-01]), 'sampling_rate': 44100}",8753,6,Chiptune / Glitch,"B, groovy, 140 bpm, sampler, Electronic, Eurobeat","Experience the electrifying pulse of Eurobeat with this groovy track. Set at a lively 140 bpm, this electronic masterpiece is adeptly crafted in the key of B. It also features innovative use of a sampler, adding an intriguing layer to its"
"{'path': None, 'array': array([0.00115967, 0.00088501, 0.00054932, ..., 0.26168823, 0.23428345,
       0.19415283]), 'sampling_rate': 44100}",3070,1,Rock,"D, acousticguitar, Rock, Alternative Rock, 89 bpm, adventure","""Embark on an adventure with this D-tuned Acoustic Guitar composition. Set at a pace of 89 BPM, it combines elements of Rock and Alternative Rock, crafting a soundscape that embodies the free-spirited energy of exploration and discovery"
"{'path': None, 'array': array([ 0.00064087,  0.00057983,  0.0005188 , ..., -0.04223633,
       -0.03955078, -0.03634644]), 'sampling_rate': 44100}",15703,5,Folk,"Rock, Acoustic, 92 bpm, adventure, acousticguitar, G","""Embark on a compelling adventure with this 92 bpm rock track. The chorus of acoustic guitars resonate in the key of G, adding a raw yet alluring vibe to the journey. Its acoustic backbone infuses an earthy tone that grounds the"
"{'path': None, 'array': array([ 0.00085449,  0.0017395 ,  0.0012207 , ..., -0.13302612,
       -0.16998291, -0.18429565]), 'sampling_rate': 44100}",20611,3,Experimental,"documentary, drummachine, 112 bpm, A#, Electronic, UK Garage","""Immerse yourself in the captivating rhythm of this UK Garage-style electronic documentary. With the entrancing pulsations of a drum machine set to 112 bpm in the key of A#, experience a unique fusion of sound and visuals that will transport you"
"{'path': None, 'array': array([-9.15527344e-05,  9.15527344e-05, -3.05175781e-05, ...,
        4.23645020e-01,  3.29833984e-01,  1.59881592e-01]), 'sampling_rate': 44100}",1456,0,Electronic,"94 bpm, documentary, Rock, Funeral Doom Metal, A, drums","""Immerse yourself in the heart-pounding rhythm of a 94 BPM Rock and Funeral Doom Metal hybrid soundtrack. With its raw, impactful drum patterns set in A key, this haunting audio captures the somber intensity often found in poignant documentaries."""
"{'path': None, 'array': array([-0.00100708, -0.00061035, -0.0010376 , ..., -0.07415771,
       -0.06222534, -0.03890991]), 'sampling_rate': 44100}",16493,8,Pop,"accordion, melodic, B, Folk, World, & Country, Séga, 133 bpm","""Experience a captivating blend of Folk, World, and Country genres encapsulated in a rhythmically engaging Séga track. This melodic piece, playing at 113 bpm, features the rich, warm tones of the accordion in the key of B."
"{'path': None, 'array': array([-6.40869141e-04,  1.52587891e-04,  1.52587891e-04, ...,
       -2.57812500e-01, -2.16064453e-01, -1.78070068e-01]), 'sampling_rate': 44100}",6237,9,International,"Funk / Soul, Swingbeat, 178 bpm, D#, groovy, acousticbassguitar","""Immerse yourself in the intoxicating rhythm of this groovy Funk/Soul track. At 178 bpm, it strides confidently in D# key, intricately woven with the resonating strums of an acoustic bass guitar. Its vibrant swing"
"{'path': None, 'array': array([0.00030518, 0.00125122, 0.00091553, ..., 0.07666016, 0.0965271 ,
       0.11071777]), 'sampling_rate': 44100}",12273,1,Rock,"C#, adventure, acousticbassguitar, Funk / Soul, Psychedelic, 92 bpm","""Step into an adventurous sonic journey with this C# key Funk/Soul track. Laced with psychedelic influences, it sets a rhythmic foundation at 92 beats per minute. The track prominently features the soothing and rich textures of an acoustic bass guitar"
"{'path': None, 'array': array([0.00057983, 0.00170898, 0.00109863, ..., 0.18325806, 0.20098877,
       0.20663452]), 'sampling_rate': 44100}",22548,9,International,"acousticbassguitar, 144 bpm, F#, Funk / Soul, Contemporary R&B, groovy","""Immerse yourself in the groovy rhythm of this contemporary R&B track. Set at 144 bpm, it features a catchy F# melody played on an acoustic bass guitar, embodying the soulful spirit of Funk and Soul."""
"{'path': None, 'array': array([-0.00042725,  0.00033569,  0.00015259, ...,  0.05755615,
        0.13754272,  0.14389038]), 'sampling_rate': 44100}",901,0,Electronic,"groovy, B, 101 bpm, Funk / Soul, Swingbeat, acousticbassguitar","Experience an infectious blend of Funk and Soul in this groovy B track. Driven by an acoustic bass guitar and set to a swingbeat rhythm, it struts along at a comfortable 101 beats per minute. Get ready to move and groove to"
"{'path': None, 'array': array([-0.22354126, -0.25628662, -0.2565918 , ..., -0.11108398,
       -0.08499146, -0.03848267]), 'sampling_rate': 44100}",8611,0,Electronic,"123 bpm, sampler, documentary, Electronic, Eurobeat, D","""Immerse yourself in the rhythmic pulse of this 123 bpm Electronic Eurobeat track. Utilizing innovative sampler techniques, 'D' takes you on a sonic journey, underscoring the vivid narratives of a documentary. A rhythmic masterpiece"
"{'path': None, 'array': array([9.15527344e-05, 7.62939453e-04, 2.13623047e-04, ...,
       1.35925293e-01, 1.50970459e-01, 1.12731934e-01]), 'sampling_rate': 44100}",10084,6,Chiptune / Glitch,"Electronic, Chiptune, sampler, game, 140 bpm, B","""Immerse yourself in this dynamic electronic chiptune, intricately crafted with a top-notch sampler. Designed to accompany epic gaming sessions, its exhilarating pulse races at 140 bpm, striking a vibrant tone in the key of B. Let"
"{'path': None, 'array': array([ 0.0005188 , -0.00027466,  0.00082397, ..., -0.00234985,
        0.00186157, -0.00561523]), 'sampling_rate': 44100}",6123,9,International,"86 bpm, C, Rock, Experimental, documentary, acousticbassguitar","""Immerse yourself in the deep tones of an acoustic bass guitar in this experimental rock track. Set at a steady rhythm of 86 beats per minute, in the key of C, it captivates and intrigues, brilliantly echoing the passionate"
"{'path': None, 'array': array([-1.55639648e-03,  3.35693359e-04, -5.55419922e-03, ...,
       -4.88403320e-01, -2.97210693e-01, -1.45080566e-01]), 'sampling_rate': 44100}",12301,7,Instrumental,"documentary, C, 92 bpm, Electronic, Eurobeat, sampler","""Immerse yourself in this engaging documentary, underscored by a pulsating Eurobeat soundtrack. Structurally rich, the music features a heartbeat of 92 beats per minute, driven by electronic keys, crafted in the key of C. Dive into"
"{'path': None, 'array': array([ 0.00219727,  0.00167847,  0.0022583 , ..., -0.20123291,
       -0.18566895, -0.16314697]), 'sampling_rate': 44100}",19137,9,International,"A, Folk, World, & Country, Laïkó, sport, 92 bpm, viola","""Immerse yourself into an inspiring 92 bpm rhythm of a Folk, World, and Country mix, beautifully intertwined with subtle tones of Laïkó, the traditional Greek music, as it resonates through the empathetic cords of a viol"
"{'path': None, 'array': array([-0.03076172, -0.03411865,  0.0305481 , ..., -0.22912598,
       -0.24020386, -0.27334595]), 'sampling_rate': 44100}",8346,6,Chiptune / Glitch,"sampler, game, C, Electronic, Chiptune, 85 bpm","""Experience an engaging tune from an Electronic Chiptune-style game, composed at an upbeat 85 bpm. The piece is beautifully programmed in C, making exceptional use of the sampler to mimic the retro sounds of the past."""
"{'path': None, 'array': array([0.00033569, 0.00027466, 0.00015259, ..., 0.00854492, 0.00640869,
       0.00430298]), 'sampling_rate': 44100}",5261,1,Rock,"Blues, Harmonica Blues, documentary, 78 bpm, D, acousticguitar","""Immerse yourself in this captivating Harmonica Blues documentary. Set at a relaxing tempo of 78 beats per minute, you'll be tuning into the rich, melodic strains of an acoustic guitar resonating in the key of D. Experience the"
"{'path': None, 'array': array([-0.00067139, -0.00238037, -0.00137329, ..., -0.0206604 ,
       -0.0098877 , -0.00631714]), 'sampling_rate': 44100}",5208,7,Instrumental,"Funk / Soul, Swingbeat, G#, 133 bpm, documentary, sampler","""Immerse yourself in this captivating, up-tempo, documentary style sampler, fusing elements of Funk and Soul with a modern Swingbeat. Set in the key of G#, and cruising at a rhythmical 133 beats per minute, this"
"{'path': None, 'array': array([-3.05175781e-04,  1.34277344e-03,  1.22070312e-04, ...,
       -1.88690186e-01, -1.70776367e-01, -1.49505615e-01]), 'sampling_rate': 44100}",24108,5,Folk,"148 bpm, G#, documentary, acousticguitar, Funk / Soul, Psychedelic","""Immerse yourself in the rhythm of this Funk / Soul track, intricately laden with psychedelic elements. Set at a pace of 148 bpm and in the enchanting key of G#, this piece is perfectly underscored by distinct acoustic guitar strains"
"{'path': None, 'array': array([-0.0057373 , -0.00500488, -0.00421143, ...,  0.07125854,
        0.06277466,  0.07034302]), 'sampling_rate': 44100}",699,4,Hip-Hop,"A, 86 bpm, Funk / Soul, Contemporary R&B, groovy, acousticbassguitar","""Immerse yourself in the rhythmic pulse of a contemporary R&B track, perfectly grooved at 86 BPM. Its soulful resonance is powered by a lively acoustic bass guitar, infusing every beat with a funk essence. This is not"
"{'path': None, 'array': array([ 0.00036621,  0.00033569,  0.00033569, ..., -0.14315796,
       -0.15948486, -0.14959717]), 'sampling_rate': 44100}",3162,1,Rock,"Funk / Soul, Psychedelic, F#, acousticguitar, 83 bpm, documentary","""Immerse yourself in the psychedelic realm of funk and soul, carried by the soulful thrum of an acoustic guitar in F#. Moving at a steady rhythm of 83 beats per minute, this captivating soundtrack is the ideal accompaniment to"
